"pounds_purchased","order_amount","farm_name","coordinates","lat","lon","order_date"
30,446,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-09-01
60,458,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-09-01
50,352,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-09-01
80,424,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-10-01
150,456,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-10-01
80,527,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-10-01
50,651,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-10-01
40,394,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-10-01
125,341,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-11-01
40,288,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-11-01
50,200,"Kamayan Farm","47.5273011,-121.8707362",47.5273011,-121.8707362,2020-09-01
50,200,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-09-01
10,33.75,"Sound Vegetables","47.7107537,-122.1618372",47.7107537,-122.1618372,2020-09-01
20,113.76,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,2020-09-01
10,25,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-09-01
20,62.5,"Kamayan Farm","47.5273011,-121.8707362",47.5273011,-121.8707362,2020-09-01
10,58.12,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-09-01
20,50,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-09-01
30,105,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,2020-09-01
150,290,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-10-01
60,135,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,2020-10-01
112,150,"Matsuda Farm","47.4323906,-122.4666727",47.4323906,-122.4666727,2020-10-01
100,159.6,"Matsuda Farm","47.4323906,-122.4666727",47.4323906,-122.4666727,2020-10-01
300,280,"Matsuda Farm","47.4323906,-122.4666727",47.4323906,-122.4666727,2020-10-01
120,1110,"Matsuda Farm","47.4323906,-122.4666727",47.4323906,-122.4666727,2020-10-01
